"genes"	"modules"
"ENSG00000277400"	"M1"
"FOLR1"	"M5"
"H2AC16"	"M2"
"CCSER1"	"M1"
"CDH15"	"M1"
"ARHGEF33"	"M1"
"CCDC177"	"M1"
"TRPC5"	"M1"
"SPAG6"	"M5"
"INSC"	"M6"
"C1QTNF3-AMACR"	"Not.Correlated"
"TTC16"	"M6"
"ROR2"	"M2"
"KRT222"	"M1"
"ENSG00000259171"	"M2"
"SYT15"	"M1"
"ENSG00000284057"	"M2"
"NPFFR1"	"M1"
"MKX"	"M1"
"ENSG00000285901"	"M2"
"HAND2"	"Not.Correlated"
"C17orf107"	"M1"
"NWD2"	"M1"
"GLRA3"	"M1"
"STX16-NPEPL1"	"M2"
"COL26A1"	"M1"
"AIRE"	"M2"
"MARCO"	"M5"
"ENSG00000258728"	"M2"
"ASPN"	"M4"
"DRD1"	"M1"
"DACH1"	"M1"
"ENSG00000289027"	"M2"
"CCKBR"	"M1"
"PRR29"	"M5"
"FNDC9"	"M1"
"GLRA2"	"M1"
"DLK1"	"M3"
"GPRIN2"	"M1"
"CHIT1"	"M5"
"EPHA10"	"M1"
"ALPK2"	"M4"
"GRM2"	"M1"
"SCART1"	"M2"
"FOXO6"	"M3"
"IL2RA"	"M4"
"IL13RA2"	"M1"
"NXPH4"	"M1"
"ALX4"	"M5"
"SIM2"	"M1"
"TNFRSF6B"	"M2"
"CYP4F3"	"M1"
"PRRG3"	"M1"
"UPK3BL2"	"M2"
"MTTP"	"M5"
"ROR1"	"M1"
"TTLL6"	"M1"
"PDIA2"	"M1"
"ENSG00000254706"	"M2"
"RASSF9"	"M1"
"TNFAIP6"	"M4"
"RAB7B"	"M1"
"DMRTC1"	"M3"
"SPEF1"	"M5"
"SLC17A6"	"M1"
"IP6K3"	"M1"
"ANKRD20A2P"	"M2"
"NPR3"	"M1"
"ENSG00000285816"	"M1"
"MPP7"	"M1"
"HS3ST5"	"M1"
"NDST3"	"M1"
"A2ML1"	"M1"
"ADORA2B"	"M1"
"ADRA2C"	"M1"
"ADAMTS16"	"M1"
"CFAP45"	"M5"
"SOCS1"	"M2"
"C7orf57"	"M5"
"BIRC5"	"M8"
"POU5F2"	"M2"
"GRIP1"	"M1"
"NIPAL4"	"M7"
"KCP"	"M1"
"KCNS2"	"M1"
"ENSG00000260729"	"M2"
"NEURL2"	"M2"
"SPAG17"	"M5"
"A1BG"	"M2"
"TMC2"	"M6"
"GPR82"	"M4"
"CRHR1"	"M3"
"BLOC1S5-TXNDC5"	"M2"
"H2AC14"	"M2"
"RGPD2"	"M1"
"SHISA8"	"M1"
"EVA1A"	"M4"
"MFAP2"	"M8"
"ENSG00000254732"	"M2"
"DNAAF1"	"M5"
"RGR"	"M1"
"AQP9"	"M2"
"IL1RN"	"M4"
"GREB1L"	"M1"
"C13orf46"	"M2"
"ENSG00000285130"	"M2"
"H3C8"	"M2"
"NPIPA8"	"M1"
"SIAH3"	"M1"
"MC5R"	"M6"
"CLEC2L"	"M1"
"SHISA2"	"M7"
"ENSG00000276345"	"Not.Correlated"
"FOXP2"	"M1"
"ENSG00000288683"	"M2"
"TAC1"	"M1"
"ART3"	"M1"
"NKD2"	"M1"
"PRMT8"	"M1"
"WNK4"	"M2"
"GPR45"	"M6"
"SYDE2"	"M1"
"CLCF1"	"M4"
"NPAS1"	"M1"
"CHRNA7"	"M1"
"NTN3"	"M2"
"ZNF208"	"M1"
"FCER1A"	"M4"
"KCNH7"	"M1"
"ENSG00000284931"	"M2"
"PIWIL2"	"M1"
"ARHGEF35"	"M1"
"ODAD2"	"M5"
"PTHLH"	"M1"
"GPR88"	"M1"
"H2AC15"	"M2"
"FLT3"	"M7"
"TMEM266"	"M1"
"VWA3A"	"M5"
"WFIKKN1"	"M2"
"EXOC3L2"	"M8"
"AMH"	"M2"
"PNOC"	"M1"
"C1orf158"	"M5"
"NPPA"	"M6"
"TMEM200A"	"M1"
"MAFIP"	"M1"
"MAGEE2"	"Not.Correlated"
"EFCAB1"	"M5"
"GPR63"	"M3"
"NLRP2"	"Not.Correlated"
"DACH2"	"M1"
"SMIM18"	"M6"
"SMIM38"	"M2"
"CPNE7"	"M1"
"MEDAG"	"M4"
"CFAP74"	"M1"
"PPAN-P2RY11"	"M2"
"CLUL1"	"M5"
"MYH1"	"M1"
"BEND4"	"M3"
"PRSS53"	"M2"
"KL"	"M1"
"GTF2A1L"	"M2"
"HBG2"	"M2"
"VIT"	"M1"
"ZNF831"	"M1"
"ENSG00000289346"	"M2"
"NYAP2"	"M1"
"ASIC3"	"M2"
"HCN4"	"M1"
"ASPDH"	"M1"
"CMTM1"	"M2"
"DSG2"	"M1"
"RERGL"	"M1"
"HOXB2"	"M2"
"VWA3B"	"M5"
"NPY1R"	"M1"
"BIVM-ERCC5"	"M2"
"TAC3"	"M1"
"SIGLEC5"	"M2"
"CRHBP"	"M1"
"ENSG00000267228"	"M2"
"FREM3"	"M3"
"WNT10B"	"M1"
"LILRA4"	"M1"
"GIMAP1-GIMAP5"	"M2"
"FSIP2"	"M2"
"LEFTY2"	"M5"
"ZNF728"	"M2"
"POMC"	"M2"
"H4C13"	"M2"
"ENSG00000283228"	"M2"
"ENSG00000287856"	"M2"
"FOXQ1"	"M1"
"TFAP2C"	"M5"
"PPBP"	"M2"
"MUSTN1"	"M1"
"ENSG00000285304"	"M2"
"GPR139"	"M6"
"DRC7"	"M5"
"GPR22"	"M3"
"TP73"	"M1"
"ENSG00000264668"	"M2"
"CCL14"	"M1"
"RBP4"	"M1"
"COL24A1"	"M1"
"CEP295NL"	"M2"
"H2BC14"	"M2"
"PAQR5"	"M1"
"HTR1A"	"M1"
"TUBB1"	"M2"
"CDRT4"	"M2"
"ENSG00000272617"	"M2"
"C3orf80"	"M1"
"CYP4X1"	"M1"
"CERKL"	"M1"
"ALAS2"	"M2"
"NTSR1"	"M1"
"RTP1"	"M5"
"H2AC19"	"M2"
"POPDC3"	"M1"
"RBM24"	"M1"
"PTPN20"	"M1"
"LTB4R2"	"M2"
"H2BC13"	"M2"
"ZNF730"	"M2"
"BARHL2"	"M1"
"ENSG00000285330"	"M4"
"KIF20A"	"M8"
"ATAD3C"	"M2"
"ENSG00000278384"	"M2"
"KRT17"	"M1"
"SERTM1"	"M1"
"ENSG00000286231"	"M2"
"CHRM4"	"M1"
"GPR55"	"M4"
"TSPAN8"	"M1"
"PLEKHD1"	"M1"
"SLC13A4"	"M1"
"TEX26"	"M5"
"DAW1"	"M5"
"FOXC2"	"M2"
"ENSG00000288725"	"M2"
"POC1B-GALNT4"	"M6"
"PAX8"	"M1"
"ENSG00000287908"	"M2"
"GREM2"	"M1"
"KRBOX1"	"M1"
"PTPRCAP"	"M2"
"ENSG00000263020"	"M2"
"ENSG00000287542"	"M1"
"ENSG00000258539"	"M2"
"WDR97"	"M2"
"MS4A4E"	"M2"
"H3C14"	"M2"
"HSPE1-MOB4"	"M2"
"P2RX5"	"M1"
"CLEC12A"	"M4"
"H3C12"	"M2"
"KHDRBS2"	"M1"
"ENSG00000261459"	"M2"
"UBD"	"M4"
"KCNN4"	"M1"
"ISM1"	"M1"
"IL1R2"	"M2"
"EMX1"	"M1"
"CLGN"	"M1"
"LHX1"	"M1"
"GLI1"	"M1"
"FGF9"	"M1"
"PRRT4"	"M1"
"DNAI3"	"M5"
"ZNF837"	"M2"
"LY75-CD302"	"M2"
"ACTG2"	"M8"
"OTX2"	"M1"
"MYBL2"	"M8"
"PRR35"	"M1"
"CXCR6"	"M4"
"PLIN4"	"M1"
"CDH12"	"M1"
"ENSG00000261732"	"M2"
"GDF6"	"M3"
"TDRD9"	"M1"
"PLD5P1"	"M2"
"ERFE"	"M1"
"ENSG00000288550"	"M2"
"ADRA1D"	"M1"
"LRRIQ1"	"M1"
"CCDC190"	"M5"
"SYPL2"	"M1"
"CHRNA3"	"M1"
"CDR1"	"M2"
"SYCE1"	"M1"
"GPR61"	"M1"
"SLC34A2"	"M8"
"PBK"	"M8"
"RXFP1"	"M1"
"ENSG00000286235"	"M2"
"PTGDR2"	"M1"
"CFAP47"	"M1"
"ZIM2"	"M2"
"ENSG00000281938"	"M2"
"HOXB3"	"M2"
"LRGUK"	"M2"
"FOXD2"	"M2"
"TRIM17"	"M1"
"PRSS12"	"M1"
"MEI4"	"M6"
"MAP3K19"	"M5"
"MYLK3"	"M5"
"HTR5A"	"M1"
"CXCL13"	"M4"
"CDC42BPG"	"M1"
"TMEM61"	"M5"
"KLHL1"	"M1"
"CFAP206"	"M5"
"PTH2R"	"M1"
"CA9"	"M1"
"TMSB4Y"	"Not.Correlated"
"GMNC"	"M5"
"IBSP"	"M8"
"RSPO4"	"M1"
"PRSS3"	"M1"
"OTOF"	"M1"
"ENSG00000254553"	"M2"
"CXCL9"	"M4"
"CXCL10"	"M4"
"GLB1L3"	"M3"
"FOXB1"	"M2"
"MEF2B"	"M2"
"C1QL4"	"M1"
"RASSF10"	"M1"
"NGB"	"M3"
"ENSG00000288520"	"M2"
"KRT19"	"M1"
"PNMA5"	"M1"
"PDZK1"	"M1"
"DPEP1"	"M8"
"LRRC56"	"M1"
"BORCS7-ASMT"	"M2"
"TRIM72"	"M1"
"IL20RA"	"M1"
"TMEM272"	"M3"
"TBCEL-TECTA"	"M2"
"PLIN5"	"M3"
"ENSG00000288796"	"M2"
"ENSG00000283149"	"M8"
"TNNT1"	"M1"
"KBTBD11-OT1"	"M2"
"LRRC10B"	"M1"
"ENSG00000259132"	"M2"
"CDH9"	"M1"
"PIMREG"	"M8"
"TMEM233"	"M1"
"CHRFAM7A"	"M1"
"IGLL5"	"M4"
"ANXA3"	"M1"
"ENSG00000258677"	"M2"
"SERPINB2"	"M8"
"HTR4"	"M1"
"NRAP"	"M1"
"IL6"	"M4"
"ENSG00000230707"	"M3"
"NEUROD6"	"M1"
"ESPL1"	"M8"
"STAC"	"M1"
"MAPK15"	"M1"
"FRK"	"M1"
"DCDC1"	"M5"
"TDGF1"	"M1"
"KLK7"	"M1"
"UBE2C"	"M8"
"TMC1"	"M1"
"FAM81B"	"M5"
"CHRNA9"	"M1"
"ANKRD63"	"M1"
"CPNE9"	"M1"
"OPRK1"	"M1"
"TNFSF18"	"Not.Correlated"
"CFAP157"	"M2"
"CKAP2L"	"M8"
"SGCZ"	"M1"
"SP5"	"M2"
"HOXD3"	"M2"
"SLC17A8"	"M1"
"GZMA"	"M4"
"EOMES"	"M4"
"POU6F2"	"M1"
"PLGLB2"	"M2"
"FEZF2"	"M1"
"TRIM73"	"M2"
"ENSG00000288681"	"M2"
"MMEL1"	"M5"
"CXCR1"	"M2"
"ANO7"	"M2"
"GALNTL6"	"M1"
"VWA7"	"M1"
"MARVELD3"	"M1"
"PNMT"	"M1"
"MALRD1"	"M1"
"CLEC10A"	"M4"
"ENSG00000259753"	"M2"
"CYP2A13"	"M6"
"MYB"	"M8"
"SSTR3"	"M1"
"C6orf163"	"M2"
"GOLGA8Q"	"M2"
"CYP4F12"	"M1"
"CRABP1"	"M1"
"TCERG1L"	"M1"
"SLITRK6"	"M3"
"CFAP99"	"M5"
"OXT"	"M2"
"SOHLH1"	"M1"
"C9orf24"	"M1"
"SCUBE1"	"M1"
"PHLDA2"	"M2"
"MAS1"	"M1"
"GZMK"	"M4"
"GPR101"	"M1"
"ENSG00000288623"	"M2"
"MMP7"	"M4"
"ADAD2"	"M1"
"HSFX1"	"M3"
"GPR68"	"M1"
"CHRM2"	"M1"
"RASEF"	"M1"
"FAM153A"	"M1"
"PRAME"	"M2"
"CEP55"	"M8"
"CCDC158"	"M1"
"CFAP92"	"M1"
"LAMC2"	"M1"
"NHLH2"	"M3"
"CNN1"	"M1"
"KLHL35"	"M1"
"KLRC4"	"M6"
"MELK"	"M8"
"LRRC9"	"M5"
"PLN"	"M2"
"FANCB"	"M2"
"SLC5A4"	"M2"
"ENSG00000288721"	"M2"
"C20orf204"	"M2"
"UNCX"	"M1"
"HJURP"	"M8"
"ENSG00000273167"	"M2"
"OR2L13"	"M7"
"OSR1"	"M2"
"TGFBR3L"	"M3"
"SLC26A1"	"M2"
"CFAP77"	"M5"
"TNN"	"M1"
"DNAH12"	"M1"
"CFAP73"	"M5"
"MAP3K15"	"M2"
"HSD11B1"	"M1"
"GPR143"	"M1"
"ANKRD1"	"Not.Correlated"
"PRR16"	"M1"
"CCKAR"	"M2"
"S100A3"	"M4"
"MSANTD1"	"M2"
"CCNA1"	"M1"
"ZNF296"	"M2"
"ENSG00000262304"	"M2"
"MUSK"	"M1"
"ODAD1"	"M2"
"RBM11"	"M1"
"DKK2"	"M1"
"ST8SIA2"	"M1"
"RAB6D"	"M3"
"RSC1A1"	"M2"
"ENSG00000256029"	"M2"
"CFAP65"	"M5"
"SCGN"	"M1"
"ANGPTL1"	"M1"
"TPBGL"	"M1"
"PIGR"	"M2"
"GLIS1"	"M2"
"LINGO2"	"M1"
"KRT7"	"M5"
"GSX1"	"M2"
"ERP27"	"M8"
"NRK"	"M1"
"IL31RA"	"M1"
"KCNRG"	"M2"
"ENSG00000268163"	"M2"
"LHFPL1"	"M1"
"PTGFR"	"M4"
"DAPL1"	"M7"
"KCNG2"	"M2"
"SYCE1L"	"M2"
"DRD2"	"M1"
"VIP"	"M1"
"ZP2"	"M1"
"EGR4"	"M1"
"DCLK3"	"M1"
"TMEM215"	"M1"
"DUOXA1"	"M5"
"SLC22A6"	"M1"
"DLGAP5"	"M8"
"IL11"	"M1"
"SLC6A5"	"M1"
"CORO7-PAM16"	"M2"
"TWIST2"	"M2"
"SLC7A4"	"M1"
"GUCA1A"	"M3"
"FAM111B"	"M8"
"ENSG00000268750"	"M2"
"DNAAF3"	"M5"
"GDF7"	"M1"
"DUSP9"	"M3"
"SNX31"	"M1"
"TTPA"	"M1"
"FCAR"	"M2"
"ZBED9"	"M1"
"KIAA2012"	"M5"
"MROH7-TTC4"	"M1"
"NPIPB2"	"M1"
"E2F2"	"M8"
"CNTNAP3C"	"M2"
"MCM10"	"M8"
"RNASE3"	"M4"
"RSPO3"	"M1"
"SOWAHB"	"M1"
"ENSG00000285476"	"M1"
"THEMIS"	"M1"
"PGR"	"M1"
"CFAP57"	"M5"
"MAB21L2"	"M1"
"HTR2C"	"M1"
"VSTM5"	"M3"
"H1-1"	"M2"
"RAMACL"	"M2"
"KLRC4-KLRK1"	"M6"
"SYTL1"	"M1"
"STRC"	"M1"
"SLC18A3"	"M2"
"SP9"	"M1"
"PHOSPHO1"	"M2"
"TNFSF9"	"M7"
"ENSG00000265690"	"M2"
"FGF5"	"M1"
"RGPD1"	"M1"
"GRAPL"	"M2"
"KLRB1"	"M4"
"SLC4A1"	"M2"
"ATG9B"	"M1"
"KCNB2"	"M1"
"PTGER3"	"M1"
"IRS4"	"M1"
"SCNN1G"	"M1"
"SCRT2"	"M1"
"C17orf67"	"M2"
"TMEM26"	"M7"
"CLEC18C"	"M2"
"ZNF804B"	"M2"
"ESPN"	"M1"
"MLPH"	"M1"
"WNT9A"	"M1"
"RTBDN"	"M1"
"IL12RB2"	"M1"
"DOK7"	"M1"
"KIRREL2"	"M1"
"BARHL1"	"M2"
"CHRM5"	"M1"
"B3GNT4"	"M1"
"LILRA6"	"M2"
"ENSG00000282988"	"M2"
"HOXD1"	"M7"
"FPR2"	"M2"
"DGKK"	"M1"
"ANKRD34C"	"M1"
"ENSG00000288710"	"M2"
"ADAM20"	"M2"
"ONECUT2"	"M1"
"FAM53A"	"M2"
"C2CD6"	"M1"
"COL6A5"	"M1"
"TSSK6"	"M2"
"ARL2-SNX15"	"Not.Correlated"
"JSRP1"	"M2"
"WDR38"	"M5"
"STYK1"	"M1"
"ENSG00000284762"	"Not.Correlated"
"KLHL34"	"M2"
"HOXA3"	"M2"
"PEDS1-UBE2V1"	"M2"
"DRD4"	"M2"
"MME"	"M1"
"SLC27A6"	"M1"
"ENSG00000261915"	"M1"
"ENSG00000257921"	"M5"
"ENDOU"	"M1"
"DLX2"	"M1"
"CD209"	"M2"
"FABP6"	"M1"
"IGFL4"	"M1"
"ERVMER34-1"	"M1"
"CD3G"	"M4"
"LCN12"	"M1"
"DLX5"	"M1"
"TNK1"	"M1"
"GJD2"	"M1"
"ANKRD18B"	"M1"
"LKAAEAR1"	"M2"
"ONECUT1"	"M1"
"CHRNA2"	"M1"
"ANKRD18A"	"M1"
"SLC16A12"	"M8"
"C14orf39"	"M1"
"C16orf74"	"M1"
"NXPH2"	"M1"
"HOXB4"	"M2"
"APOBEC3B"	"M8"
"SLC1A7"	"Not.Correlated"
"TCTE1"	"M1"
"NPAS4"	"M1"
"ENSG00000285238"	"Not.Correlated"
"TAFA3"	"M1"
"DNAI1"	"M1"
"TFPI2"	"M8"
"OR2A7"	"M2"
"RPRML"	"M1"
"CD3D"	"M4"
"GOLGA8K"	"M1"
"KCNK17"	"M4"
"ASCL2"	"M2"
"ROPN1B"	"M3"
"CCDC17"	"M2"
"PNMA6F"	"M1"
"USP6"	"M2"
"MPL"	"M1"
